ar,Named Storms,Named Storm Days,Hurricanes,Hurricanes Days,Cat. 3+ Hurricanes,Cat. 3+ Hurricanes Days,Accumulated Cyclone Energy
1980,10,41.25,3,5.25,1,0.5,43.1
1981,5,22.25,3,5.25,0,0,24.6
1982,5,32,4,7,0,0,35.1
1983,14,94,10,42,5,6.5,160.6
1984,10,33.5,3,3.5,1,1.5,36.8
1985,15,55.5,7,18.5,5,5.75,89.9
1986,10,39.5,5,9,0,0,45.1
1987,14,56.75,7,12.25,1,0.25,66.6
1988,7,37.75,4,9.75,2,3,56.9
1989,11,51.25,6,21.5,4,6.75,97.4
1990,7,33.25,3,7.5,1,3.5,45.8
1991,4,26,3,8.25,1,2.25,40.7
1992,15,75.25,9,37.25,4,10.75,160.9
1993,14,72.75,8,32.75,5,9.75,139.9
1994,6,37.75,4,21,4,9,87
1995,6,20,3,4.5,1,1,25.7
1996,9,31.25,3,5.5,1,1.25,33.9
1997,17,98.75,9,28.75,3,8,145.1
1998,20,100.75,12,37.75,4,8.5,178
1999,12,42.25,3,12,1,2.25,58.5
2000,9,23.5,4,5.5,1,0.5,27
2001,7,19.5,2,5.5,1,1.25,26.6
2002,8,15.75,2,4,1,1,18.2
2003,10,41.75,7,21.75,6,9.75,104.9
2004,6,16.75,2,9.5,2,4.75,42.6
2005,8,38.75,6,27,5,15.25,128.7
2006,8,29.75,5,13.5,2,3.25,57.9
2007,9,19.75,4,4.75,1,0.75,25.1
2008,7,27,4,9.75,3,2.5,43.3
2009,9,20,1,4.75,1,3.25,33.7
2010,10,45,7,20.75,4,8.75,93.9
2011,9,37.5,5,15,3,4.5,68.9
2012,4,15.75,1,5,1,2.25,25.5
2013,8,34.5,5,15.5,3,5.25,65.2
2014,10,32,3,9.75,2,3.75,55.2
2015,9,41.75,5,12.75,4,5.25,74.8
2016,11,55,5,25.25,2,7.25,110.4
2017,8,30.25,4,11.75,2,2.25,48.7
2018,8,37.75,4,13.25,1,4,62.8
2019,9,45.25,4,10.75,1,0.75,53.6